"FIPS","Name of Area","Qualifying Name","Nation","State","County","Total Population (2018 est.)","Total Violent and Property Crimes","Total Violent and Property Crimes: Violent Crimes ","Total Violent and Property Crimes: Property Crimes","Total Violent and Property Crimes Rate","Total Violent and Property Crimes Rate: Violent Crimes Rate","Total Violent and Property Crimes Rate: Property Crimes Rate","Total Violent Crimes ","Total Violent Crimes: Murders and Nonnegligent Manslaughters","Total Violent Crimes: Rape Revised Definition","Total Violent Crimes: Rape Legacy Definition","Total Violent Crimes: Robberies","Total Violent Crimes: Aggravated Assaults","Total Violent Crimes Rate","Total Violent Crimes Rate: Murders and Nonnegligent Manslaughters Rate","Total Violent Crimes Rate: Rape Revised Definition Rate","Rape Legacy Definition Rate","Total Violent Crimes Rate: Robberies Rate","Total Violent Crimes Rate: Aggravated Assaults Rate","Total Property Crimes","Total Property Crimes: Burglaries","Total Property Crimes: Larcenies","Total Property Crimes: Motor Vehicle Thefts","Total Property Crimes Rate","Total Property Crimes Rate: Burglaries Rate","Total Property Crimes Rate: Larcenies Rate","Total Property Crimes Rate: Motor Vehicle Thefts Rate","Arsons","Arsons Rate","Total Number of Hate Crime Reported:","Total Number of Hate Crimes with an Anti-Race, Anti-Ethnicity, Anti-Ancestry Bias Reported:","Total Number of Hate Crimes with an Anti-Religion Bias Reported:","Total Number of Hate Crimes with an Anti-Sexual Orientation Bias Reported:","Total Number of Hate Crimes with an Anti-Disability Bias Reported:","Total Number of Hate Crimes with an Anti-Gender and Anti-Gender Identity Bias Reported:","Total Number of Hate Crime Reported (Rate per 100,000 Population):","Anti-Race, Anti-Ethnicity, Anti-Ancestry Rate:","Anti-Religion Rate:","Anti-Sexual Orientation Rate:","Anti-Disability Rate:","Anti-Gender and Anti-Gender Rate:"
Geo_FIPS,Geo_NAME,Geo_QNAME,Geo_NATION,Geo_STATE,Geo_COUNTY,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_003,SE_T003_001,SE_T003_002,SE_T003_003,SE_T004_001,SE_T004_002,SE_T004_003,SE_T004_004,SE_T004_005,SE_T004_006,SE_T005_001,SE_T005_002,SE_T005_003,SE_T005_004,SE_T005_005,SE_T005_006,SE_T006_001,SE_T006_002,SE_T006_003,SE_T006_004,SE_T007_001,SE_T007_002,SE_T007_003,SE_T007_004,SE_T008_001,SE_T009_001,SE_T010_001,SE_T010_002,SE_T010_003,SE_T010_004,SE_T010_005,SE_T010_006,SE_T011_001,SE_T011_002,SE_T011_003,SE_T011_004,SE_T011_005,SE_T011_006
"01019","Cherokee County","Cherokee County, Alabama","00","01","019",26032,360,65,295,1382.91333743085,249.692685925015,1133.22065150584,65,0,11,,1,53,249.692685925015,0,42.2556853103872,,3.84142593730793,203.59557467732,295,101,160,34,1133.22065150584,387.984019668101,614.628149969269,130.60848186847,,,,,,,,,,,,,,
"01021","Chilton County","Chilton County, Alabama","00","01","021",44153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"01023","Choctaw County","Choctaw County, Alabama","00","01","023",12841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"01025","Clarke County","Clarke County, Alabama","00","01","025",23920,67,18,49,280.100334448161,75.2508361204013,204.849498327759,18,0,8,,1,9,75.2508361204013,0,33.4448160535117,,4.18060200668896,37.6254180602007,49,25,16,8,204.849498327759,104.515050167224,66.8896321070234,33.4448160535117,,,,,,,,,,,,,,
"01027","Clay County","Clay County, Alabama","00","01","027",13275,66,1,65,497.175141242938,7.53295668549906,489.642184557439,1,0,0,,0,1,7.53295668549906,0,0,,0,7.53295668549906,65,32,32,1,489.642184557439,241.05461393597,241.05461393597,7.53295668549906,,,,,,,,,,,,,,
"01029","Cleburne County","Cleburne County, Alabama","00","01","029",14987,152,8,144,1014.2123173417,53.379595649563,960.832721692133,8,0,2,,1,5,53.379595649563,0,13.3448989123907,,6.67244945619537,33.3622472809768,144,43,90,11,960.832721692133,286.915326616401,600.520451057583,73.3969440181491,,,,,,,,,,,,,,
"01031","Coffee County","Coffee County, Alabama","00","01","031",51909,150,18,132,288.967231115991,34.676067733919,254.291163382072,18,1,3,,0,14,34.676067733919,1.92644820743994,5.77934462231983,,0,26.9702749041592,132,55,65,12,254.291163382072,105.954651409197,125.219133483596,23.1173784892793,,,,,,,,,,,,,,
"01033","Colbert County","Colbert County, Alabama","00","01","033",54762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"01035","Conecuh County","Conecuh County, Alabama","00","01","035",12277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"01037","Coosa County","Coosa County, Alabama","00","01","037",10715,212,41,171,1978.53476434904,382.641157256183,1595.89360709286,41,0,3,,0,38,382.641157256183,0,27.9981334577695,,0,354.643023798413,171,64,100,7,1595.89360709286,597.293513765749,933.271115258983,65.3289780681288,,,,,,,,,,,,,,
"01039","Covington County","Covington County, Alabama","00","01","039",36986,41,4,37,110.852755096523,10.8149029362461,100.037852160277,4,0,0,,0,4,10.8149029362461,0,0,,0,10.8149029362461,37,14,19,4,100.037852160277,37.8521602768615,51.3707889471692,10.8149029362461,,,,,,,,,,,,,,
"01041","Crenshaw County","Crenshaw County, Alabama","00","01","041",13824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"01043","Cullman County","Cullman County, Alabama","00","01","043",83442,963,52,911,1154.09506004171,62.3187363677764,1091.77632367393,52,1,23,,2,26,62.3187363677764,1.19843723784185,27.5640564703626,,2.39687447568371,31.1593681838882,911,235,553,123,1091.77632367393,281.632750892836,662.735792526545,147.407780254548,,,,,,,,,,,,,,
"01045","Dale County","Dale County, Alabama","00","01","045",48956,178,31,147,363.591796715418,63.3221668436964,300.269629871722,31,0,9,,1,21,63.3221668436964,0,18.3838548901054,,2.04265054334504,42.8956614102459,147,39,99,9,300.269629871722,79.6633711904567,202.222403791159,18.3838548901054,,,,,,,,,,,,,,
"01047","Dallas County","Dallas County, Alabama","00","01","047",38310,503,76,427,1312.97311406943,198.381623596972,1114.59149047246,76,1,11,,10,54,198.381623596972,2.61028452101279,28.7131297311407,,26.1028452101279,140.955364134691,427,131,255,41,1114.59149047246,341.947272252676,665.622552858262,107.021665361524,,,,,,,,,,,,,,
"01049","DeKalb County","DeKalb County, Alabama","00","01","049",71385,737,113,624,1032.42978216712,158.29656090215,874.133221264972,113,2,35,,2,74,158.29656090215,2.80170904251593,49.0299082440289,,2.80170904251593,103.66323457309,624,198,318,108,874.133221264972,277.369195209078,445.471737760034,151.29228829586,,,,,,,,,,,,,,
"01051","Elmore County","Elmore County, Alabama","00","01","051",81887,737,68,669,900.020760316045,83.0412641811277,816.979496134918,68,4,30,,12,22,83.0412641811277,4.88478024594869,36.6358518446151,,14.6543407378461,26.8662913527178,669,178,427,64,816.979496134918,217.372720944717,521.450291255022,78.156483935179,,,,,,,,,,,,,,
"01053","Escambia County","Escambia County, Alabama","00","01","053",36748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"01055","Etowah County","Etowah County, Alabama","00","01","055",102501,543,99,444,529.750929259227,96.5844235665994,433.166505692627,99,2,32,,1,64,96.5844235665994,1.95120047609292,31.2192076174867,,0.975600238046458,62.4384152349733,444,152,233,59,433.166505692627,148.291236183062,227.314855464825,57.560414044741,,,,,,,,,,,,,,
"01057","Fayette County","Fayette County, Alabama","00","01","057",16433,74,2,72,450.313393780807,12.1706322643461,438.142761516461,2,0,1,,0,1,12.1706322643461,0,6.08531613217307,,0,6.08531613217307,72,32,27,13,438.142761516461,194.730116229538,164.303535568673,79.1091097182499,,,,,,,,,,,,,,
"01059","Franklin County","Franklin County, Alabama","00","01","059",31363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"01061","Geneva County","Geneva County, Alabama","00","01","061",26314,242,40,202,919.66253705252,152.010336702896,767.652200349624,40,1,7,,2,30,152.010336702896,3.80025841757239,26.6018089230068,,7.60051683514479,114.007752527172,202,74,112,16,767.652200349624,281.219122900357,425.628942768108,60.8041346811583,,,,,,,,,,,,,,
"01063","Greene County","Greene County, Alabama","00","01","063",8233,154,31,123,1870.52107372768,376.533462893235,1493.98761083445,31,0,2,,1,28,376.533462893235,0,24.2924814769829,,12.1462407384914,340.09474067776,123,45,60,18,1493.98761083445,546.580833232115,728.774444309486,218.632333292846,,,,,,,,,,,,,,
"01065","Hale County","Hale County, Alabama","00","01","065",14726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"01067","Henry County","Henry County, Alabama","00","01","067",17209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"01069","Houston County","Houston County, Alabama","00","01","069",104722,778,121,657,742.91934836997,115.544011764481,627.375336605489,121,1,9,,19,92,115.544011764481,0.954909188136208,8.59418269322587,,18.143274574588,87.8516453085312,657,187,400,70,627.375336605489,178.568018181471,381.963675254483,66.8436431695346,,,,,,,,,,,,,,
"01071","Jackson County","Jackson County, Alabama","00","01","071",51736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"01073","Jefferson County","Jefferson County, Alabama","00","01","073",659300,2984,729,2255,452.601243743364,110.57181859548,342.029425147884,729,10,45,,128,546,110.57181859548,1.51676020021235,6.82542090095556,,19.414530562718,82.8151069315941,2255,1181,888,186,342.029425147884,179.129379645078,134.688305778856,28.2117397239496,,,,,,,,,,,,,,
"01075","Lamar County","Lamar County, Alabama","00","01","075",13844,70,6,64,505.634209765964,43.3400751227969,462.294134643167,6,0,1,,0,5,43.3400751227969,0,7.22334585379948,,0,36.1167292689974,64,27,33,4,462.294134643167,195.030338052586,238.370413175383,28.8933834151979,,,,,,,,,,,,,,
"01077","Lauderdale County","Lauderdale County, Alabama","00","01","077",92387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"01079","Lawrence County","Lawrence County, Alabama","00","01","079",32957,399,48,351,1210.66844676397,145.644324422733,1065.02412234123,48,0,8,,3,37,145.644324422733,0,24.2740540704554,,9.10277027642079,112.267500075856,351,112,195,44,1065.02412234123,339.836756986376,591.680067967351,133.507297387505,,,,,,,,,,,,,,
"01081","Lee County","Lee County, Alabama","00","01","081",163941,1432,417,1015,873.484973252573,254.359800172013,619.12517308056,417,2,23,,10,382,254.359800172013,1.21995107996169,14.0294374195595,,6.09975539980847,233.010656272683,1015,263,620,132,619.12517308056,160.423567014963,378.184834788125,80.5167712774718,,,,,,,,,,,,,,
"01083","Limestone County","Limestone County, Alabama","00","01","083",96174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"01085","Lowndes County","Lowndes County, Alabama","00","01","085",9974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"01087","Macon County","Macon County, Alabama","00","01","087",18439,87,19,68,471.82602093389,103.042464341884,368.783556592006,19,1,4,,2,12,103.042464341884,5.42328759694127,21.6931503877651,,10.8465751938825,65.0794511632952,68,29,21,18,368.783556592006,157.275340311297,113.889039535767,97.6191767449428,,,,,,,,,,,,,,
"01089","Madison County","Madison County, Alabama","00","01","089",366519,2397,390,2007,653.990652599183,106.406489158816,547.584163440367,390,2,46,,42,300,106.406489158816,0.545674303378542,12.5505089777065,,11.4591603709494,81.8511455067814,2007,486,1306,215,547.584163440367,132.598855720986,356.325320106188,58.6599876131933,,,,,,,,,,,,,,
"01091","Marengo County","Marengo County, Alabama","00","01","091",19066,179,30,149,938.844015525018,157.348159026539,781.495856498479,30,0,3,,3,24,157.348159026539,0,15.7348159026539,,15.7348159026539,125.878527221232,149,53,77,19,781.495856498479,277.981747613553,403.860274834784,99.6538340501416,,,,,,,,,,,,,,
"01093","Marion County","Marion County, Alabama","00","01","093",29763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"01095","Marshall County","Marshall County, Alabama","00","01","095",96109,459,89,370,477.582744592078,92.6031901278756,384.979554464202,89,0,14,,4,71,92.6031901278756,0,14.5667939526995,,4.16194112934273,73.8744550458334,370,134,193,43,384.979554464202,139.425027832981,200.813659490787,44.7408671404343,,,,,,,,,,,,,,
"01097","Mobile County","Mobile County, Alabama","00","01","097",413757,2155,147,2008,520.837109704488,35.5280998267099,485.309009877779,147,1,9,,23,114,35.5280998267099,0.241687753923196,2.17518978530877,,5.55881834023352,27.5524039472444,2008,564,1130,314,485.309009877779,136.311893212683,273.107161933212,75.8899547318837,,,,,,,,,,,,,,
"01099","Monroe County","Monroe County, Alabama","00","01","099",21067,83,27,56,393.981107893862,128.162529073907,265.818578819955,27,2,0,,0,25,128.162529073907,9.49352067214126,0,,0,118.669008401766,56,19,29,8,265.818578819955,90.188446385342,137.656049746048,37.9740826885651,,,,,,,,,,,,,,
"01101","Montgomery County","Montgomery County, Alabama","00","01","101",225763,515,111,404,228.115324477439,49.1666039164965,178.948720560942,111,0,8,,10,93,49.1666039164965,0,3.54353902100876,,4.42942377626095,41.1936411192268,404,136,230,38,178.948720560942,60.2401633571489,101.876746854002,16.8318103497916,,,,,,,,,,,,,,
"01103","Morgan County","Morgan County, Alabama","00","01","103",119089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"01105","Perry County","Perry County, Alabama","00","01","105",9140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"01107","Pickens County","Pickens County, Alabama","00","01","107",19938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"01109","Pike County","Pike County, Alabama","00","01","109",33338,151,27,124,452.936588877557,80.9886615873778,371.947927290179,27,0,3,,3,21,80.9886615873778,0,8.99874017637531,,8.99874017637531,62.9911812346272,124,45,69,10,371.947927290179,134.98110264563,206.971024056632,29.9958005879177,,,,,,,,,,,,,,
"01111","Randolph County","Randolph County, Alabama","00","01","111",22725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"01113","Russell County","Russell County, Alabama","00","01","113",57781,308,40,268,533.047195444869,69.2269084993337,463.820286945536,40,2,9,,6,23,69.2269084993337,3.46134542496668,15.5760544123501,,10.3840362749001,39.8054723871169,268,70,158,40,463.820286945536,121.147089873834,273.446288572368,69.2269084993337,,,,,,,,,,,,,,
"01115","St. Clair County","St. Clair County, Alabama","00","01","115",88690,637,221,416,718.232044198895,249.182545946555,469.04949825234,221,1,11,,1,208,249.182545946555,1.12752283233736,12.4027511557109,,1.12752283233736,234.52474912617,416,130,255,31,469.04949825234,146.577968203856,287.518322246025,34.953207802458,,,,,,,,,,,,,,
"01117","Shelby County","Shelby County, Alabama","00","01","117",215707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"01119","Sumter County","Sumter County, Alabama","00","01","119",12691,49,10,39,386.100386100386,78.7959971633441,307.304388937042,10,0,1,,1,8,78.7959971633441,0,7.87959971633441,,7.87959971633441,63.0367977306753,39,21,15,3,307.304388937042,165.471594043023,118.193995745016,23.6387991490032,,,,,,,,,,,,,,
"01121","Talladega County","Talladega County, Alabama","00","01","121",79828,793,92,701,993.385779425765,115.247782732876,878.13799669289,92,0,8,,13,71,115.247782732876,0,10.0215463245979,,16.2850127774716,88.9412236308062,701,182,444,75,878.13799669289,227.990178884602,556.195821015183,93.9519967931052,,,,,,,,,,,,,,
"01123","Tallapoosa County","Tallapoosa County, Alabama","00","01","123",40497,130,15,115,321.01143294565,37.0397807244981,283.971652221152,15,0,4,,1,10,37.0397807244981,0,9.87727485986616,,2.46931871496654,24.6931871496654,115,28,78,9,283.971652221152,69.1409240190631,192.60685976739,22.2238684346989,,,,,,,,,,,,,,
"01125","Tuscaloosa County","Tuscaloosa County, Alabama","00","01","125",208911,1568,197,1371,750.558850419557,94.2985290386815,656.260321380875,197,3,6,,22,166,94.2985290386815,1.43601820871089,2.87203641742177,,10.5308001972132,79.4596742153357,1371,361,831,179,656.260321380875,172.800857781543,397.777043812916,85.6824197864162,,,,,,,,,,,,,,
"01127","Walker County","Walker County, Alabama","00","01","127",63711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"01129","Washington County","Washington County, Alabama","00","01","129",16378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"01131","Wilcox County","Wilcox County, Alabama","00","01","131",10627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"01133","Winston County","Winston County, Alabama","00","01","133",23660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"02013","Aleutians East Borough","Aleutians East Borough, Alaska","00","02","013",3515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"02016","Aleutians West Census Area","Aleutians West Census Area, Alaska","00","02","016",5723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"02020","Anchorage Municipality","Anchorage Municipality","00","02","020",291538,18213,3824,14389,6247.21305627397,1311.66434564276,4935.5487106312,3824,26,613,,717,2468,1311.66434564276,8.91821992330331,210.264185114805,,245.937064808018,846.544875796637,14389,2068,9498,2823,4935.5487106312,709.341492361202,3257.89433967442,968.312878595586,58,19.8944905981381,,,,,,,,,,,,
"02050","Bethel Census Area","Bethel Census Area","00","02","050",18216,156,99,57,856.389986824769,543.478260869565,312.911725955204,99,0,31,,6,62,543.478260869565,0,170.180061484409,,32.9380764163373,340.360122968819,57,15,30,12,312.911725955204,82.3451910408432,164.690382081686,65.8761528326746,4,21.9587176108915,,,,,,,,,,,,
"02060","Bristol Bay Borough","Bristol Bay Borough","00","02","060",877,9,0,9,1026.22576966933,0,1026.22576966933,0,0,0,,0,0,0,0,0,,0,0,9,2,2,5,1026.22576966933,228.050171037628,228.050171037628,570.125427594071,0,0,,,,,,,,,,,,
"02068","Denali Borough","Denali Borough, Alaska","00","02","068",2059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"02070","Dillingham Census Area","Dillingham Census Area","00","02","070",5000,76,32,44,1520,640,880,32,0,9,,1,22,640,0,180,,20,440,44,7,31,6,880,140,620,120,1,20,,,,,,,,,,,,
"02090","Fairbanks North Star Borough","Fairbanks North Star Borough","00","02","090",98971,1620,204,1416,1636.84311566014,206.120984934981,1430.72213072516,204,4,22,,43,135,206.120984934981,4.04158793990159,22.2287336694587,,43.4470703539421,136.403592971679,1416,112,1148,156,1430.72213072516,113.164462317244,1159.93573875176,157.621929656162,5,5.05198492487698,,,,,,,,,,,,
"02100","Haines Borough","Haines Borough","00","02","100",2474,19,3,16,767.987065481002,121.261115602264,646.725949878739,3,0,0,,0,3,121.261115602264,0,0,,0,121.261115602264,16,4,12,0,646.725949878739,161.681487469685,485.044462409054,0,0,0,,,,,,,,,,,,
"02105","Hoonah-Angoon Census Area","Hoonah-Angoon Census Area, Alaska","00","02","105",2151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"02110","Juneau City and Borough","Juneau City and Borough","00","02","110",32113,1814,264,1550,5648.80266558715,822.096970074425,4826.70569551272,264,1,41,,37,185,822.096970074425,3.11400367452434,127.674150655498,,115.2181359574,576.090679787002,1550,294,1125,131,4826.70569551272,915.517080310155,3503.25413383988,407.934481362688,5,15.5700183726217,,,,,,,,,,,,
"02122","Kenai Peninsula Borough","Kenai Peninsula Borough","00","02","122",58533,1116,98,1018,1906.61678027779,167.426921565613,1739.18985871218,98,1,20,,8,69,167.426921565613,1.70843797515931,34.1687595031862,,13.6675038012745,117.882220285993,1018,91,857,70,1739.18985871218,155.467855739497,1464.13134471153,119.590658261152,2,3.41687595031862,,,,,,,,,,,,
"02130","Ketchikan Gateway Borough","Ketchikan Gateway Borough","00","02","130",13918,435,25,410,3125.44905877281,179.623509124874,2945.82554964794,25,1,6,,4,14,179.623509124874,7.18494036499497,43.1096421899698,,28.7397614599799,100.58916510993,410,38,348,24,2945.82554964794,273.027733869809,2500.35924701825,172.438568759879,1,7.18494036499497,,,,,,,,,,,,
"02150","Kodiak Island Borough","Kodiak Island Borough","00","02","150",13345,307,48,259,2300.48707381042,359.685275384039,1940.80179842638,48,0,12,,0,36,359.685275384039,0,89.9213188460097,,0,269.763956538029,259,81,156,22,1940.80179842638,606.968902210566,1168.97714499813,164.855751217685,0,0,,,,,,,,,,,,
"02158","Kusilvak Census Area","Kusilvak Census Area, Alaska","00","02","158",8303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"02164","Lake and Peninsula Borough","Lake and Peninsula Borough, Alaska","00","02","164",1587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"02170","Matanuska-Susitna Borough","Matanuska-Susitna Borough","00","02","170",107610,968,87,881,899.544651984016,80.8475048787287,818.697147105288,87,0,4,,12,71,80.8475048787287,0,3.71712666109098,,11.1513799832729,65.9789982343648,881,104,685,92,818.697147105288,96.6452931883654,636.55794071183,85.4939132050925,4,3.71712666109098,,,,,,,,,,,,
"02180","Nome Census Area","Nome Census Area","00","02","180",10008,140,103,37,1398.88089528377,1029.17665867306,369.704236610711,103,0,39,,1,63,1029.17665867306,0,389.68824940048,,9.99200639488409,629.496402877698,37,5,26,6,369.704236610711,49.9600319744205,259.792166266986,59.9520383693046,0,0,,,,,,,,,,,,
"02185","North Slope Borough","North Slope Borough","00","02","185",9872,237,148,89,2400.72933549433,1499.18962722853,901.539708265802,148,1,14,,3,130,1499.18962722853,10.129659643436,141.815235008104,,30.3889789303079,1316.85575364668,89,27,54,8,901.539708265802,273.500810372771,547.001620745543,81.0372771474878,0,0,,,,,,,,,,,,
"02188","Northwest Arctic Borough","Northwest Arctic Borough","00","02","188",7671,246,106,140,3206.88306609308,1381.82766262547,1825.05540346761,106,1,19,,12,74,1381.82766262547,13.0361100247686,247.686090470604,,156.433320297223,964.672141832877,140,20,92,28,1825.05540346761,260.722200495372,1199.32212227871,365.011080693521,1,13.0361100247686,,,,,,,,,,,,
"02195","Petersburg Borough","Petersburg Borough","00","02","195",3221,87,10,77,2701.02452654455,310.462589257994,2390.56193728656,10,0,0,,1,9,310.462589257994,0,0,,31.0462589257994,279.416330332195,77,15,56,6,2390.56193728656,465.693883886992,1738.59049984477,186.277553554797,0,0,,,,,,,,,,,,
"02198","Prince of Wales-Hyder Census Area","Prince of Wales-Hyder Census Area","00","02","198",6422,33,8,25,513.858611024603,124.571784490813,389.28682653379,8,0,1,,0,7,124.571784490813,0,15.5714730613516,,0,109.000311429461,25,5,19,1,389.28682653379,77.857365306758,295.85798816568,15.5714730613516,0,0,,,,,,,,,,,,
"02220","Sitka City and Borough","Sitka City and Borough","00","02","220",8647,248,21,227,2868.04672140627,242.858794957789,2625.18792644848,21,0,0,,4,17,242.858794957789,0,0,,46.2588180871979,196.599976870591,227,17,196,14,2625.18792644848,196.599976870591,2266.6820862727,161.905863305193,0,0,,,,,,,,,,,,
