"FIPS","Geographic Identifier","Name of Area","Qualifying Name","State/U.S.-Abbreviation (USPS)","Summary Level","Geographic GEOCOMP","File Identification","Logical Record Number","US","Region","Division","State (Census Code)","State (FIPS)","County","County Subdivision (FIPS)","Place (FIPS Code)","Place (State FIPS + Place FIPS)","Census Tract","Block Group","Consolidated City","American Indian Area/Alaska Native Area/Hawaiian Home Land (Census)","American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian Tribal Subdivision (Census)","American Indian Tribal Subdivision (FIPS)","Alaska Native Regional Corporation (FIPS)","Metropolitan and Micropolitan Statistical Area","Combined Statistical Area","Metropolitan Division","Metropolitan Area Central City","Metropolitan/Micropolitan Indicator Flag","New England City and Town Combined Statistical Area","New England City and Town Area","New England City and Town Area Division","Urban Area","Urban Area Central Place","Current Congressional District 110","State Legislative District Upper","State Legislative District Lower","Voting District","ZIP Code Tabulation Area (3-digit)","ZIP Code Tabulation Area (5-digit)","Subbarrio (FIPS)","School District (Elementary)","School District (Secondary)","School District (Unified)","Urban/Rural","Principal City Indicator","Traffic Analysis Zone","Urban Growth Area","Public Use Microdata Area - 5% File","Public Use Microdata Area - 1% File","Total Population","Total Population","Population Density (Per Sq. Mile)","Area (Land)","Households:","Households: Less than $10,000","Households: $10,000 to $14,999","Households: $15,000 to $19,999","Households: $20,000 to $24,999","Households: $25,000 to $29,999","Households: $30,000 to $34,999","Households: $35,000 to $39,999","Households: $40,000 to $44,999","Households: $45,000 to $49,999","Households: $50,000 to $59,999","Households: $60,000 to $74,999","Households: $75,000 to $99,999","Households: $100,000 to $124,999","Households: $125,000 to $149,999","Households: $150,000 to $199,999","Households: $200,000 or More","Median Household Income (In 2018 Inflation Adjusted Dollars)","Average Household Income (In 2018 Inflation Adjusted Dollars)"
Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,SE_A00001_001,SE_A00002_001,SE_A00002_002,SE_A00002_003,SE_A14001_001,SE_A14001_002,SE_A14001_003,SE_A14001_004,SE_A14001_005,SE_A14001_006,SE_A14001_007,SE_A14001_008,SE_A14001_009,SE_A14001_010,SE_A14001_011,SE_A14001_012,SE_A14001_013,SE_A14001_014,SE_A14001_015,SE_A14001_016,SE_A14001_017,SE_A14006_001,SE_A14008_001
"01081","05000US01081","Lee County, Alabama","Lee County, Alabama","al","050","00","ACSSF","0000022",,,,,"01","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163941,163941,269.839224667566,607.550663555198,59336,8077,3359,3381,3401,3094,3093,2356,2239,1832,3103,4342,6739,5694,2388,3118,3120,46456,73269.9760684913
"01083","05000US01083","Limestone County, Alabama","Limestone County, Alabama","al","050","00","ACSSF","0000023",,,,,"01","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96174,96174,171.752950226322,559.955446897823,32333,1378,1450,2158,1352,1536,1540,689,1308,1647,1683,3766,5778,3413,1893,1615,1127,67000,76167.7697708224
"01089","05000US01089","Madison County, Alabama","Madison County, Alabama","al","050","00","ACSSF","0000024",,,,,"01","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366519,366519,457.243777396869,801.583352509741,152723,9579,7011,6277,7868,4584,7162,5692,6527,6678,11119,16183,18329,13100,9149,12671,10794,63111,85716.6274889833
"01095","05000US01095","Marshall County, Alabama","Marshall County, Alabama","al","050","00","ACSSF","0000025",,,,,"01","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96109,96109,169.850384022755,565.845055652768,36022,3193,2870,1379,3095,2054,1399,1457,1848,1151,3505,3358,4530,2286,1742,1145,1010,47528,63466.1901060463
"01097","05000US01097","Mobile County, Alabama","Mobile County, Alabama","al","050","00","ACSSF","0000026",,,,,"01","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413757,413757,336.560248088987,1229.36978549708,158627,15072,11073,12470,9424,8585,8389,9740,6848,6283,10735,16553,18740,10576,4894,4975,4270,43061,60778.642349663
"01101","05000US01101","Montgomery County, Alabama","Montgomery County, Alabama","al","050","00","ACSSF","0000027",,,,,"01","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225763,225763,287.486185505222,785.300342704291,87553,8962,4601,6368,4383,3363,4008,4595,3356,4151,6363,8280,10714,6356,3318,4626,4109,49989,74318.4631023494
"01103","05000US01103","Morgan County, Alabama","Morgan County, Alabama","al","050","00","ACSSF","0000028",,,,,"01","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119089,119089,205.542074396078,579.389890609532,45851,2613,2062,2908,2105,2520,3053,2613,2548,1182,4746,3370,5914,3731,2900,2538,1048,53260,70725.8053259471
"01115","05000US01115","St. Clair County, Alabama","St. Clair County, Alabama","al","050","00","ACSSF","0000029",,,,,"01","115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88690,88690,140.420416875293,631.603309358962,30765,1522,1507,1437,1085,1612,2463,1433,1414,966,2566,4113,3806,3227,363,2152,1099,56602,69676.6390378677
"01117","05000US01117","Shelby County, Alabama","Shelby County, Alabama","al","050","00","ACSSF","0000030",,,,,"01","117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215707,215707,274.654655486632,785.3753639013,80944,4084,3082,2735,2615,2630,2471,3629,3567,3379,6590,6843,9613,9464,7683,5776,6783,71230,96480.7335935956
"01121","05000US01121","Talladega County, Alabama","Talladega County, Alabama","al","050","00","ACSSF","0000031",,,,,"01","121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79828,79828,108.346817714841,736.78213798674,31219,3915,2334,2621,1731,1108,1954,1825,1608,744,2171,3363,3282,1768,1194,938,663,40315,58109.6800025625
"01125","05000US01125","Tuscaloosa County, Alabama","Tuscaloosa County, Alabama","al","050","00","ACSSF","0000032",,,,,"01","125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208911,208911,158.162974440356,1320.85907425054,74053,7715,3807,2609,4188,3318,3695,2367,3085,3434,5847,7189,9728,7028,4145,2849,3049,54459,71000.468583312
"01127","05000US01127","Walker County, Alabama","Walker County, Alabama","al","050","00","ACSSF","0000033",,,,,"01","127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63711,63711,80.5446608335426,791.002151361319,24870,2261,1416,2120,1593,1160,1183,1185,845,1188,1663,2222,3481,2392,838,855,468,47602,64412.006433454
"02020","05000US02020","Anchorage Municipality, Alaska","Anchorage Municipality, Alaska","ak","050","00","ACSSF","0000010",,,,,"02","020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291538,291538,170.849452802733,1706.40288989756,105285,3318,2578,2984,2446,3491,1916,4142,2958,3370,8233,12453,14662,12623,7913,10317,11881,83648,106659.608681199
"02090","05000US02090","Fairbanks North Star Borough, Alaska","Fairbanks North Star Borough, Alaska","ak","050","00","ACSSF","0000011",,,,,"02","090",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98971,98971,13.5030700637744,7329.51836379165,36378,1281,1002,810,1164,846,1598,1898,1201,1005,2522,4713,5273,4442,2863,2611,3149,75448,98388.5507724449
"02170","05000US02170","Matanuska-Susitna Borough, Alaska","Matanuska-Susitna Borough, Alaska","ak","050","00","ACSSF","0000012",,,,,"02","170",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107610,107610,4.35424906111654,24713.7907109994,32198,2320,1303,1226,1186,1133,1098,1061,1065,954,1635,3468,4158,3609,2852,2884,2246,72667,91158.8794335052
"04001","05000US04001","Apache County, Arizona","Apache County, Arizona","az","050","00","ACSSF","0000012",,,,,"04","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71818,71818,6.41376859089971,11197.4729025772,21936,5526,1258,1590,1312,1243,943,1065,1011,1257,1186,2091,1496,692,504,628,134,30207,42002.1562727936
"04003","05000US04003","Cochise County, Arizona","Cochise County, Arizona","az","050","00","ACSSF","0000013",,,,,"04","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126770,126770,20.5642778073251,6164.57340188449,49751,3826,2450,3722,3396,1885,2294,3058,2486,1362,4874,4913,6035,4528,1960,1774,1188,50495,64548.5256577757
"04005","05000US04005","Coconino County, Arizona","Coconino County, Arizona","az","050","00","ACSSF","0000014",,,,,"04","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142854,142854,7.6726193994432,18618.6740880653,47275,3207,1819,2082,2656,1528,1446,2710,1840,1165,4417,6229,5663,3800,2834,3280,2599,61843,78885.4955050238
"04013","05000US04013","Maricopa County, Arizona","Maricopa County, Arizona","az","050","00","ACSSF","0000015",,,,,"04","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4410824,4410824,479.476447606778,9199.2506034777,1582464,77401,48835,57823,72181,61739,75271,71961,66691,62917,132256,161769,216686,154721,97646,106099,118468,65252,89077.1593540201
"04015","05000US04015","Mohave County, Arizona","Mohave County, Arizona","az","050","00","ACSSF","0000016",,,,,"04","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209550,209550,15.7425397303876,13311.0669300398,90270,7472,4138,6475,5484,6315,5263,4618,4578,4736,8876,10364,10692,5817,1751,2024,1667,46060,57206.1138805805
"04017","05000US04017","Navajo County, Arizona","Navajo County, Arizona","az","050","00","ACSSF","0000017",,,,,"04","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110445,110445,11.1001231927492,9949.88957168913,34285,4685,2052,2220,2238,1292,2347,2135,1751,1595,2507,3594,3677,1804,1225,849,314,40463,53791.3869038938
"04019","05000US04019","Pima County, Arizona","Pima County, Arizona","az","050","00","ACSSF","0000018",,,,,"04","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1039073,1039073,113.099794576836,9187.22269910131,402323,28808,16852,22087,21072,20776,17528,22701,20716,17826,31506,45509,46922,29568,20361,21024,19067,53464,73422.7715044877
"04021","05000US04021","Pinal County, Arizona","Pinal County, Arizona","az","050","00","ACSSF","0000019",,,,,"04","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,447138,447138,83.3304908719726,5365.8390262812,147936,8490,3181,5948,7065,8231,7496,6622,6339,6653,15176,19298,22990,12282,8818,5665,3682,59058,69864.3758111616
"04025","05000US04025","Yavapai County, Arizona","Yavapai County, Arizona","az","050","00","ACSSF","0000020",,,,,"04","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231993,231993,28.5582179450295,8123.51108344904,100836,5256,6231,6588,6324,5601,6205,4482,5980,5442,9713,10269,11402,6184,4542,3795,2822,48148,65373.4350827086
"04027","05000US04027","Yuma County, Arizona","Yuma County, Arizona","az","050","00","ACSSF","0000021",,,,,"04","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212128,212128,38.4709791079628,5513.97455741108,74532,6122,3878,4147,6232,4139,5722,4632,3607,2250,6309,7037,9255,4950,2498,2394,1360,43403,59035.1473192723
"05007","05000US05007","Benton County, Arkansas","Benton County, Arkansas","ar","050","00","ACSSF","0000013",,,,,"05","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272608,272608,321.639325300086,847.558052006419,100128,2705,3453,3165,4280,4242,3982,4783,3928,4591,8503,10470,14495,9831,6656,6695,8349,67164,97031.0352748482
"05031","05000US05031","Craighead County, Arkansas","Craighead County, Arkansas","ar","050","00","ACSSF","0000014",,,,,"05","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108558,108558,153.484896052017,707.287836082638,42631,3789,1878,2894,3958,1724,2431,1631,3160,1527,3843,3863,5489,3125,1131,915,1273,44810,62796.8544017264
"05045","05000US05045","Faulkner County, Arkansas","Faulkner County, Arkansas","ar","050","00","ACSSF","0000015",,,,,"05","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124806,124806,192.619939608139,647.939150297221,43701,3837,2652,1611,3218,2383,1882,2363,2062,1424,2699,4200,3620,5201,2823,2258,1468,51437,71385.0140729045
"05051","05000US05051","Garland County, Arkansas","Garland County, Arkansas","ar","050","00","ACSSF","0000016",,,,,"05","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99154,99154,146.304950356795,677.721428825153,40407,3797,1986,1902,2857,2119,3127,2778,2174,985,2806,5124,4621,2267,1347,1521,996,42779,63689.9076892618
"05069","05000US05069","Jefferson County, Arkansas","Jefferson County, Arkansas","ar","050","00","ACSSF","0000017",,,,,"05","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68114,68114,78.2935937728648,869.981779066158,25689,2810,1858,1426,3126,1702,1723,1076,719,1208,2218,1766,2905,1298,832,689,333,35652,53234.664642454
"05085","05000US05085","Lonoke County, Arkansas","Lonoke County, Arkansas","ar","050","00","ACSSF","0000018",,,,,"05","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73657,73657,95.5464598029978,770.902450513284,28132,1106,1896,1444,1772,1472,1403,1496,1276,1559,1839,3440,2900,2635,1190,1632,1072,53782,70716.273283094
"05119","05000US05119","Pulaski County, Arkansas","Pulaski County, Arkansas","ar","050","00","ACSSF","0000019",,,,,"05","119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392680,392680,517.423221747854,758.914527789318,157678,12603,8568,7785,8196,9049,8266,8223,8757,8140,12220,11660,16083,12242,7822,7572,10492,49613,78949.8788670582
"05125","05000US05125","Saline County, Arkansas","Saline County, Arkansas","ar","050","00","ACSSF","0000020",,,,,"05","125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121421,121421,167.81363736068,723.546678980752,43496,2622,1341,1398,1579,1668,2017,1927,2528,2183,3555,4763,5988,5337,3184,2137,1269,63084,76912.7873827478
"05131","05000US05131","Sebastian County, Arkansas","Sebastian County, Arkansas","ar","050","00","ACSSF","0000021",,,,,"05","131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127753,127753,240.184623473277,531.894998741307,51739,3099,3327,2872,3507,3570,3601,2274,2360,3326,4525,4155,5408,4208,1938,2160,1409,46826,65729.722259804
"05143","05000US05143","Washington County, Arkansas","Washington County, Arkansas","ar","050","00","ACSSF","0000022",,,,,"05","143",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236961,236961,251.547325365703,942.013593885377,90001,7283,4478,4759,4201,4408,5109,5562,4213,4551,7715,9397,10457,5570,3884,4230,4184,50342,72794.2156198264
"05145","05000US05145","White County, Arkansas","White County, Arkansas","ar","050","00","ACSSF","0000023",,,,,"05","145",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78727,78727,76.0586513951075,1035.08277567309,29577,2667,1710,2232,2685,1513,1449,1600,1600,1185,2075,3249,3020,1370,826,872,1524,42270,62732.9681847381
"06001","05000US06001","Alameda County, California","Alameda County, California","ca","050","00","ACSSF","0000013",,,,,"06","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1666753,1666753,2260.61735374337,737.299922625124,575410,24297,17340,12900,18153,13106,14501,14051,14814,14228,31268,44476,60785,57444,46208,70522,121317,102125,134376.555151979
"06007","05000US06007","Butte County, California","Butte County, California","ca","050","00","ACSSF","0000014",,,,,"06","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231256,231256,141.313909647563,1636.47018596225,88636,5928,5835,5559,4699,5461,4298,4195,3552,3606,5533,9065,9422,8521,3555,5213,4194,51652,72948.3088135746
"06013","05000US06013","Contra Costa County, California","Contra Costa County, California","ca","050","00","ACSSF","0000015",,,,,"06","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1150215,1150215,1604.02222495695,717.081710031089,396133,12542,11522,8235,11582,9282,9352,12582,10800,9811,18562,31182,47850,44367,32161,46167,80136,101618,137620.953316184
"06017","05000US06017","El Dorado County, California","El Dorado County, California","ca","050","00","ACSSF","0000016",,,,,"06","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190678,190678,111.64849936978,1707.84203170053,72774,3406,2227,1878,2567,2276,2869,1805,1852,2435,4103,6745,10720,8202,4968,6568,10153,82742,108802.902135378
"06019","05000US06019","Fresno County, California","Fresno County, California","ca","050","00","ACSSF","0000017",,,,,"06","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,994400,994400,166.898875592073,5958.09885760088,309519,20872,17485,15916,19993,14310,17425,13839,15528,12153,21308,32673,36306,25209,16722,15995,13785,52629,72518.6999828767
"06023","05000US06023","Humboldt County, California","Humboldt County, California","ca","050","00","ACSSF","0000018",,,,,"06","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136373,136373,38.2192707126318,3568.17378922219,55773,3235,4191,3468,3616,3158,2902,3331,1726,2043,4631,7027,6152,5467,931,2285,1610,50294,64549.3034263891
"06025","05000US06025","Imperial County, California","Imperial County, California","ca","050","00","ACSSF","0000019",,,,,"06","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181827,181827,43.5348968076498,4176.58047527633,41764,3998,3311,2574,2350,2189,1123,1941,1651,1979,3540,3565,6605,3730,1220,1026,962,48984,60685.7748299971
"06029","05000US06029","Kern County, California","Kern County, California","ca","050","00","ACSSF","0000020",,,,,"06","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,896764,896764,110.272423902691,8132.25980043151,273167,21121,15671,14490,15119,15217,13901,11850,12903,11980,20844,26638,31857,21660,13498,14733,11685,51579,71440.7904322264
"06031","05000US06031","Kings County, California","Kings County, California","ca","050","00","ACSSF","0000021",,,,,"06","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151366,151366,108.872197761214,1390.30903309205,43727,2901,1689,1395,1208,2193,1948,2302,1854,1515,4085,6153,5513,3634,3193,2601,1543,61663,74030.1964461317
"06033","05000US06033","Lake County, California","Lake County, California","ca","050","00","ACSSF","0000022",,,,,"06","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64382,64382,51.2384558398515,1256.51717923017,26774,1584,1976,1168,1652,1790,1307,1602,1784,812,2133,3131,2142,1835,925,1628,1305,48554,71170.2435198327
"06037","05000US06037","Los Angeles County, California","Los Angeles County, California","ca","050","00","ACSSF","0000023",,,,,"06","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10105518,10105518,2490.15197815358,4058.19327039353,3313908,198451,151726,130497,140442,125512,133702,125377,130749,114599,216785,320596,408109,320244,208828,250855,337436,68093,98976.8834258525
"06039","05000US06039","Madera County, California","Madera County, California","ca","050","00","ACSSF","0000024",,,,,"06","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157672,157672,73.7844269378249,2136.92789310221,44484,2315,1997,2481,1411,1710,2474,3148,2469,1667,3557,6128,5044,3839,2258,2016,1970,56305,71817.3837784372
"06041","05000US06041","Marin County, California","Marin County, California","ca","050","00","ACSSF","0000025",,,,,"06","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259666,259666,498.919423570627,520.456786672371,104954,3381,2614,2322,1654,1953,2268,2214,2425,2388,5479,6061,10842,8597,9423,13343,29990,126373,172906.517140843
"06045","05000US06045","Mendocino County, California","Mendocino County, California","ca","050","00","ACSSF","0000026",,,,,"06","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87606,87606,24.9848939078797,3506.3586950982,33794,1447,2489,2474,1263,2170,1384,2175,1622,1217,3458,3781,3712,2620,1473,1260,1249,51830,66690.8948334024
"06047","05000US06047","Merced County, California","Merced County, California","ca","050","00","ACSSF","0000027",,,,,"06","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274765,274765,141.950002661879,1935.64631805244,79487,5086,4130,3747,3609,4586,4206,2646,4592,2661,5878,8472,11914,6381,4974,3175,3430,57745,76713.3631914653
